time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-02-17,,,,,,,,,,,,1.0,,,,,
2014-02-18,,,,,,,,,,,,1.0,,,,,1.0
2014-02-19,,,,,,,,,,,,1.0,,,,,
2014-02-20,,,,,,,,,,,,1.0,,,,,1.0
2014-02-21,,,,,,,,,,,,1.0,,,,,1.0
2014-02-22,,,,,,,,,,,,,,,,,1.0
2014-02-23,,,,,,,,,,,,1.0,,,,,1.0
2014-02-24,,,,,,,,,,,,1.0,,,,,1.0
2014-02-26,,,,,,,,,,,,,,,,,1.0
2014-02-27,,,,,,,,,,,,1.0,,,,,
2014-02-28,,,,,,,,,,,,1.0,,,,,
2014-03-02,,,,,,,,,,,,1.0,,,,,
2014-03-03,,,,,,,,,,,,1.0,,,,,
2014-03-04,,,,,,,,,,,,1.0,,,,,
2014-03-05,,,,,,,,,,,,1.0,,,,,1.0
2014-03-06,,,,,,,,,,,,1.0,,,,,
2014-03-07,,,,,,,,,,,,1.0,,,,,1.0
2014-03-08,,,,,,,,,,,,1.0,,,,,1.0
2014-03-09,,,,,,,,,,,,1.0,,,,,
2014-03-10,,,,,,,,,,,,1.0,,,,,1.0
2014-03-11,,,,,,,,,,,,1.0,,,,,
2014-03-12,,,,,,,,,,,,1.0,,,,,
2014-03-13,,,,,,,,,,,,,,,,,1.0
2014-03-14,,,,,,,,,,,,1.0,,,,,
2014-03-17,,,,,,,,,,,,1.0,,,,,1.0
2014-03-18,,,,,,,,,,,,1.0,,,,,
2014-03-19,,,,,,,,,,,,1.0,,,,,1.0
2014-03-21,,,,,,,,,,,,1.0,,,,,1.0
2014-03-24,,,,,,,,,,,,1.0,,,,,
2014-03-25,,,,,,,,,,,,,,,,,1.0
2014-03-26,,,,,,,,,,,,1.0,,,,,
2014-03-28,,,,,,,,,,,,1.0,,,,,
2014-03-29,,,,,,,,,,,,1.0,,,,,1.0
2014-03-30,,,,,,,,,,,,1.0,,,,,1.0
2014-03-31,,,,,,,,,,,,1.0,,,,,
2014-04-01,,,,,,,,,,,,,,,,,1.0
2014-04-02,0.153125,10.323,22.808250000000005,,,,18.264,64.2695,,,,1.0,,,,73.15975010395061,1.0
2014-04-03,0.07881944444444446,6.9307027027027015,24.23692105263158,,55.504,,20.029999999999998,54.205799999999996,,,,1.0,-0.4,0.6,7.4,46.69532856600627,1.0
2014-04-04,0.13924288801542117,10.85898148148148,26.147250000000003,,46.858444444444444,,17.20114285714286,59.16685714285715,53.2335,,,1.0,1.0,0.2,7.0,26.167323530889018,1.0
2014-04-05,0.05138888888888888,11.806019736842103,40.78898245614034,,30.036571428571428,,15.4926,59.5731282051282,,19.125,,1.0,-0.2,0.6,7.4,61.33276039361954,1.0
2014-04-06,0.08090277777777778,8.570141592920356,40.69003921568626,,34.101,24.4285,12.685199999999998,66.95333333333333,58.035000000000004,,12.736999999999998,1.0,-1.0,0.2,7.0,54.876081073606315,1.0
2014-04-07,0.08437499999999998,7.123061855670104,92.08434482758622,,40.41,,13.992799999999999,65.6997,58.36,,,,1.0,0.8,7.6,74.89101752063695,
2014-04-08,0.0711805555555556,13.54351250000001,56.81185714285714,,51.182399999999994,,17.485333333333333,84.01977777777779,45.169000000000004,,,,-0.6,0.8,7.6,57.623596145556526,
2014-04-09,0.11215277777777778,5.646751824817516,46.36173770491803,,48.215500000000006,,36.350142857142856,92.19890000000001,37.4822,,,,0.4,0.8,7.0,68.4182027127292,
2014-04-10,0.125,8.250774436090225,48.243975,,27.471625000000003,,14.7268,45.300117647058826,40.127,1.004,,,-0.2,0.4,7.4,52.19401332855223,1.0
2014-04-11,0.0857638888888889,5.140278195488722,23.750833333333333,,28.71525,,9.274799999999999,47.4688,,,,1.0,0.4,-0.6,5.8,35.19169232172844,
2014-04-12,0.07713122605363984,23.168118181818176,42.481605263157896,,24.819333333333333,,11.772499999999999,69.77761111111111,,,,1.0,0.25,0.5,7.0,55.58867165223881,1.0
2014-04-13,0.13717672413793106,6.424949494949495,37.56955000000001,,15.021,,14.9702,40.13042105263158,,,,1.0,0.5,1.5,8.75,29.67630263692455,1.0
2014-04-14,0.0809027777777778,6.385378378378377,26.186157894736837,,23.316999999999997,,12.6452,19.638999999999996,,,29.346999999999998,,-0.8,0.8,7.6,24.945468055441026,
2014-04-15,0.09026916896235077,6.663035714285712,49.011139534883725,,35.42675,,17.4862,83.82684615384616,49.03583333333333,,,,-0.6,0.6,7.2,58.461546665827406,
2014-04-16,0.11818102240896361,5.722561728395061,51.79407843137253,,56.538000000000004,,20.4092,94.39255555555556,97.79776190476191,,,,-1.4,1.0,7.8,65.56714706794888,
2014-04-17,0.10105333800186746,12.535062111801244,36.84947222222221,,28.061500000000002,,13.386125,47.391000000000005,139.14689473684209,,,1.0,0.2,0.8,7.6,53.45267306841335,
2014-04-18,0.11597222222222221,5.933937984496121,29.58970588235294,,36.260999999999996,,10.9048,55.81640000000001,103.74849999999999,,,1.0,0.0,1.4,8.6,35.055320002237956,
2014-04-19,0.054989495798319334,6.36432911392405,87.02751428571429,,30.630555555555556,,13.753833333333333,43.571942857142865,,,,,-0.25,0.5,7.5,49.866519460430396,
2014-04-20,0.18090277777777786,171.50545595854922,53.249297872340435,,52.4375,,14.766399999999999,37.46106666666667,,,,1.0,-0.4,0.6,7.2,50.304085724694396,
2014-04-21,0.07812500000000006,5.773785046728974,36.419244444444445,,20.918599999999998,,11.325199999999999,64.95984615384614,100.8495,,24.243250000000003,1.0,0.0,0.2,6.8,48.756301373651574,1.0
2014-04-22,0.097000466853408,6.383280303030304,47.14316129032259,,42.51049999999999,,12.642999999999999,68.16763636363636,122.83266666666668,,,1.0,-1.0,0.8,7.8,56.691182930295035,1.0
2014-04-23,0.07138142791551878,6.6008611111111115,49.137640000000005,,38.448,,12.663599999999999,54.09153333333334,80.125,,,1.0,0.0,0.8,8.0,68.0974418617958,
2014-04-24,0.08724323062558355,8.310306250000002,39.07719999999999,,24.019199999999998,,14.291333333333332,42.813066666666664,64.85440000000001,,,1.0,0.6,0.6,7.6,40.443755091453085,
2014-04-25,0.13997140522875814,5.03209944751381,35.243522727272726,,55.023666666666664,,35.939499999999995,48.63816666666667,,1.003,15.3805,1.0,1.2,0.6,7.6,33.4046181787144,
2014-04-26,0.36180555555555555,6.948431034482758,25.588571428571424,,,,28.356333333333335,80.21083333333333,97.68671428571427,,15.092749999999999,1.0,0.6666666666666666,1.6666666666666667,9.333333333333334,30.560695123381738,
2014-04-27,0.12519226354453622,6.432747311827955,56.126424242424264,,21.189500000000002,,12.8798,77.96032258064515,79.704,,,1.0,0.4,0.8,8.0,61.49740336923038,
2014-04-28,0.13159722222222217,6.613,33.14931578947369,,58.75200000000001,,31.453428571428567,77.01552173913045,95.20649999999999,,,1.0,0.2,0.8,7.8,61.1260740550948,
2014-04-29,0.08749999999999998,6.158308270676688,31.3576,,59.015666666666675,,16.8255,92.01805263157897,,,,1.0,-1.2,0.4,7.2,46.182609770356166,
2014-04-30,0.0889128352490421,7.290017857142859,52.1241186440678,251.452,26.21983333333333,,12.12833333333333,86.46003571428568,,,,1.0,1.2,0.4,6.6,76.3292766073917,
2014-05-01,0.1123922413793103,7.246382812499997,69.819875,162.572,42.848555555555556,,10.7088,74.3749,156.852,,,1.0,0.4,0.8,7.6,50.229625006516784,
2014-05-02,0.11944444444444446,6.290469230769227,42.76,,51.2906,,15.167333333333332,66.821875,,,,1.0,-1.0,0.6,7.2,40.68481607546752,
2014-05-03,0.09062499999999996,5.887456521739128,46.683356164383554,,,,10.255799999999999,40.40891666666667,71.32533333333333,,,1.0,1.2,0.0,6.4,42.17305931196375,
2014-05-04,0.08654003267973857,15.794344370860923,61.744613636363646,,17.422,,14.252799999999997,55.56289999999999,,,,,-0.2,0.6,7.4,52.169159292119794,
2014-05-05,0.16432475726422502,7.010567251461991,48.5267924528302,,67.2575,,9.834999999999999,38.74336666666666,,,,,0.0,0.6666666666666666,7.666666666666667,62.555618541756836,
2014-05-06,0.09791666666666661,6.854474576271187,69.65984615384615,,24.4395,,3.032,75.5492,,,,1.0,,,,50.15594846686137,
2014-05-07,0.10194033299050513,9.953920289855077,56.333400000000005,,11.046,,8.281,42.76866666666666,,,,1.0,0.6,0.8,7.8,40.12531249821184,1.0
2014-05-08,0.07134818007662835,5.8043303571428595,56.202770833333346,,29.4718,,9.066600000000001,53.28290000000002,,,,1.0,0.6,0.2,7.0,49.0598795155445,
2014-05-09,0.09930555555555555,6.828488986784144,36.495030303030305,,11.934999999999999,,10.1402,52.52077272727272,,,23.144000000000002,1.0,1.2,-0.2,6.4,35.62558106796162,1.0
2014-05-10,0.10075431034482761,6.1576165803108776,43.04736666666665,,19.600250000000003,,10.7262,39.83733333333334,28.979,,19.49975,1.0,0.6,0.0,6.6,36.720696297398334,
2014-05-11,0.07620818810004285,6.120277227722778,52.2185810810811,,,,8.4512,52.565833333333345,,,20.223799999999997,1.0,1.4,0.4,7.0,62.53143536801238,
2014-05-12,0.10003591954022988,6.455946428571425,58.049258064516124,,31.254,,11.1178,52.933142857142855,,,31.066999999999997,1.0,0.0,1.0,7.8,45.30502634613138,
2014-05-13,0.07083333333333337,6.463536144578312,43.40427083333333,,4.6930000000000005,,9.4688,36.730782608695655,,,,1.0,0.8,0.4,6.8,38.33554717054907,1.0
2014-05-14,0.08833333333333336,5.911096774193548,62.8605,,,,12.069500000000001,92.9168,,,,,1.0,0.75,7.5,58.687611116303316,
2014-05-15,,,,,,,,,,,,,1.5,0.5,7.0,,
