,time,mood,weekday
0,2014-03-04,7.0,1
1,2014-03-05,7.166666666666668,2
2,2014-03-06,7.222222222222222,3
3,2014-03-07,7.4444444444444455,4
4,2014-03-08,7.3,5
5,2014-03-09,7.2,6
6,2014-03-10,7.0,0
7,2014-03-11,6.4,1
8,2014-03-12,6.7,2
9,2014-03-13,7.083333333333332,3
10,2014-03-14,7.434782608695652,4
11,2014-03-15,6.461538461538463,5
12,2014-03-16,6.461538461538463,6
13,2014-03-17,6.379310344827586,0
14,2014-03-18,7.137931034482759,1
15,2014-03-19,7.0,2
16,2014-03-20,6.605263157894738,3
17,2014-03-21,6.885245901639344,4
18,2014-03-22,6.746478873239437,5
19,2014-03-23,6.987341772151898,6
20,2014-03-24,6.753246753246753,0
21,2014-03-25,6.831325301204818,1
22,2014-03-26,6.916666666666668,2
23,2014-03-27,6.8977272727272725,3
24,2014-03-28,7.090909090909091,4
25,2014-03-29,7.433333333333334,5
26,2014-03-30,6.988372093023256,6
27,2014-03-31,6.977777777777778,0
28,2014-04-01,6.978947368421053,1
29,2014-04-02,6.861386138613862,2
30,2014-04-03,7.036363636363636,3
31,2014-04-04,7.009803921568627,4
32,2014-04-05,7.356521739130435,5
33,2014-04-06,6.9,6
34,2014-04-07,6.831858407079647,0
35,2014-04-08,7.05128205128205,1
36,2014-04-09,7.118181818181817,2
37,2014-04-10,7.156521739130435,3
38,2014-04-11,7.0701754385964914,4
39,2014-04-12,7.309090909090909,5
40,2014-04-13,7.087719298245614,6
41,2014-04-14,6.955357142857142,0
42,2014-04-15,6.873949579831933,1
43,2014-04-16,7.048780487804878,2
44,2014-04-17,6.763779527559056,3
45,2014-04-18,6.775862068965517,4
46,2014-04-19,7.2564102564102555,5
47,2014-04-20,7.221238938053098,6
48,2014-04-21,7.047619047619048,0
49,2014-04-22,6.827868852459017,1
50,2014-04-23,6.843478260869565,2
51,2014-04-24,7.0166666666666675,3
52,2014-04-25,7.02542372881356,4
53,2014-04-26,7.353535353535353,5
54,2014-04-27,7.041666666666668,6
55,2014-04-28,7.105263157894738,0
56,2014-04-29,6.954545454545454,1
57,2014-04-30,6.8672566371681425,2
