((('appCat.utilities', 'sms'), 'svr'), 0.9825456422128122)
((('appCat.game', 'sms'), 'svr'), 1.0361964197776274)
((('activity', 'sms'), 'svr'), 1.0414097961142241)
((('circumplex.valence', 'sms'), 'svr'), 1.1113098632923153)
((('circumplex.arousal', 'sms'), 'svr'), 1.1138844555880285)
((('activity', 'appCat.unknown'), 'svr'), 1.1301477029427514)
((('appCat.unknown',), 'svr'), 1.130358320986176)
((('appCat.game', 'appCat.unknown'), 'svr'), 1.130358320986176)
((('appCat.unknown', 'appCat.utilities'), 'svr'), 1.130358320986176)
((('sms',), 'svr'), 1.1452638074954657)
((('circumplex.valence', 'appCat.unknown'), 'svr'), 1.1453243515647968)
((('circumplex.arousal', 'appCat.unknown'), 'svr'), 1.1551356247346096)
((('mood', 'sms'), 'svr'), 1.1837902914283032)
((('mood', 'appCat.unknown'), 'svr'), 1.2171475837656127)
((('activity',), 'svr'), 1.220654289629707)
((('circumplex.arousal', 'circumplex.valence'), 'svr'), 1.2288724197617336)
((('appCat.game',), 'svr'), 1.2295031217544798)
((('activity', 'appCat.game'), 'svr'), 1.2309922942148805)
((('circumplex.arousal',), 'svr'), 1.232498230971877)
((('call', 'sms'), 'svr'), 1.233092478027136)
((('circumplex.arousal', 'appCat.game'), 'svr'), 1.2339431843564677)
((('appCat.unknown', 'call'), 'svr'), 1.2357501666718826)
((('appCat.travel', 'sms'), 'svr'), 1.2381565427785035)
((('appCat.game', 'appCat.travel'), 'svr'), 1.2384870418872844)
((('appCat.builtin',), 'svr'), 1.2384870419361158)
((('appCat.communication',), 'svr'), 1.2384870419361158)
((('appCat.entertainment',), 'svr'), 1.2384870419361158)
((('appCat.other',), 'svr'), 1.2384870419361158)
((('appCat.social',), 'svr'), 1.2384870419361158)
((('screen',), 'svr'), 1.2384870419361158)
((('activity', 'appCat.builtin'), 'svr'), 1.2384870419361158)
((('activity', 'appCat.communication'), 'svr'), 1.2384870419361158)
((('activity', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('activity', 'appCat.other'), 'svr'), 1.2384870419361158)
((('activity', 'appCat.social'), 'svr'), 1.2384870419361158)
((('activity', 'screen'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'appCat.builtin'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'appCat.communication'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'appCat.other'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'appCat.social'), 'svr'), 1.2384870419361158)
((('circumplex.arousal', 'screen'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'appCat.builtin'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'appCat.communication'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'appCat.other'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'appCat.social'), 'svr'), 1.2384870419361158)
((('circumplex.valence', 'screen'), 'svr'), 1.2384870419361158)
((('mood', 'appCat.builtin'), 'svr'), 1.2384870419361158)
((('mood', 'appCat.communication'), 'svr'), 1.2384870419361158)
((('mood', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('mood', 'appCat.other'), 'svr'), 1.2384870419361158)
((('mood', 'appCat.social'), 'svr'), 1.2384870419361158)
((('mood', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.communication'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.game'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.other'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.social'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.travel'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.unknown'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'appCat.utilities'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'call'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.builtin', 'sms'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.entertainment'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.game'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.other'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.social'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.travel'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.unknown'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'appCat.utilities'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'call'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.communication', 'sms'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.game'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.other'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.social'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.travel'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.unknown'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'appCat.utilities'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'call'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.entertainment', 'sms'), 'svr'), 1.2384870419361158)
((('appCat.game', 'appCat.other'), 'svr'), 1.2384870419361158)
